"Year","Men_Bucket","Women_Bucket","Total_Men","Total_Women","Top_Jobs_Men","Top_Jobs_Women"
2013,"$10000-20000","$10000-20000",229045,176252,"",""
2013,"$10000-20000","$20000-30000",1191,2749,"",""
2013,"$20000-30000","$10000-20000",2718084,3125287,"",""
2013,"$20000-30000","$20000-30000",8454153,6648865,"",""
2013,"$20000-30000","$30000-40000",42575,145754,"",""
2013,"$20000-30000",NA,17564,171,"","...Plasterers and stucco masons"
2013,"$30000-40000","$10000-20000",48331,3488,"",""
2013,"$30000-40000","$20000-30000",16966254,10354549,"",""
2013,"$30000-40000","$30000-40000",6726917,12994282,"",""
2013,"$30000-40000","$40000-50000",22795,3016,"",""
2013,"$30000-40000","$1e+05-110000",1989,94,"",""
2013,"$30000-40000",NA,60187,269,"","...Manufactured building and mobile home installers; ...Reinforcing iron and rebar workers; ...Cement masons, concrete finishers, and terrazzo workers; ...Paving, surfacing, and tamping equipment operators; ...Septic tank servicers and sewer pipe cleaners"
2013,"$40000-50000","$10000-20000",4635,106,"",""
2013,"$40000-50000","$20000-30000",3008671,232447,"",""
2013,"$40000-50000","$30000-40000",22948024,7750541,"",""
2013,"$40000-50000","$40000-50000",6103958,2862791,"",""
2013,"$40000-50000","$50000-60000",140034,6174,"",""
2013,"$40000-50000",NA,22461,168,"","...Riggers; ...Fish and game wardens; ...Roustabouts, oil and gas"
2013,"$50000-60000","$20000-30000",9450,8562,"",""
2013,"$50000-60000","$30000-40000",6197273,4284919,"",""
2013,"$50000-60000","$40000-50000",14232751,15414429,"",""
2013,"$50000-60000","$50000-60000",1139244,555751,"",""
2013,"$50000-60000","$60000-70000",37343,1960,"",""
2013,"$50000-60000","$70000-80000",706,337,"",""
2013,"$50000-60000",NA,11973,192,"","...Rail-track laying and maintenance equipment operators; ...Commercial divers; ...Electrical and electronics installers and repairers, transportation equipment"
2013,"$60000-70000","$30000-40000",29284,368,"",""
2013,"$60000-70000","$40000-50000",1555824,1404233,"",""
2013,"$60000-70000","$50000-60000",3957881,2316865,"",""
2013,"$60000-70000","$60000-70000",1334524,2189531,"",""
2013,"$60000-70000","$80000-90000",98259,1185,"",""
2013,"$60000-70000","$130000-140000",23425,1708,"",""
2013,"$60000-70000",NA,7971,59,"","...Railroad brake, signal, and switch operators; ...Roof bolters, mining"
2013,"$70000-80000","$30000-40000",28274,1006,"",""
2013,"$70000-80000","$40000-50000",24538,26947,"",""
2013,"$70000-80000","$50000-60000",3537481,4234982,"",""
2013,"$70000-80000","$60000-70000",8610682,3255272,"",""
2013,"$70000-80000","$70000-80000",8556,2011,"",""
2013,"$70000-80000","$80000-90000",10765,1606,"",""
2013,"$70000-80000","$90000-1e+05",1603,330,"",""
2013,"$70000-80000",NA,4440,30,"","...Signal and track switch repairers; ...Mine shuttle car operators"
2013,"$80000-90000","$40000-50000",26520,32265,"",""
2013,"$80000-90000","$50000-60000",1647689,4137270,"",""
2013,"$80000-90000","$60000-70000",6246703,3090511,"",""
2013,"$80000-90000","$70000-80000",1252316,509625,"",""
2013,"$80000-90000","$80000-90000",60758,10434,"",""
2013,"$80000-90000","$1e+05-110000",7886,544,"",""
2013,"$90000-1e+05","$50000-60000",618186,598507,"",""
2013,"$90000-1e+05","$60000-70000",655879,440625,"",""
2013,"$90000-1e+05","$70000-80000",111119,74185,"",""
2013,"$90000-1e+05","$80000-90000",1323051,279307,"",""
2013,"$90000-1e+05","$90000-1e+05",84233,7476,"",""
2013,"$1e+05-110000","$50000-60000",85054,3915,"",""
2013,"$1e+05-110000","$60000-70000",44484,20883,"",""
2013,"$1e+05-110000","$80000-90000",9222,3771,"",""
2013,"$1e+05-110000","$90000-1e+05",514340,226909,"",""
2013,"$1e+05-110000","$1e+05-110000",7563,1796,"",""
2013,"$1e+05-110000","$120000-130000",20619,2606,"",""
2013,"$110000-120000","$60000-70000",691164,685028,"",""
2013,"$110000-120000","$70000-80000",3623,935,"",""
2013,"$110000-120000","$80000-90000",32209,23672,"",""
2013,"$110000-120000","$1e+05-110000",16642,6558,"",""
2013,"$120000-130000","$60000-70000",5184,1573,"",""
2013,"$120000-130000","$80000-90000",23443,14280,"",""
