SeriesId,Year,Period,Label,Value,Race,Gender
LEU0252929700,2000,A01,2000 Annual,409,White,Men
LEU0252929700,2001,A01,2001 Annual,422,White,Men
LEU0252929700,2002,A01,2002 Annual,427,White,Men
LEU0252929700,2003,A01,2003 Annual,432,White,Men
LEU0252929700,2004,A01,2004 Annual,451,White,Men
LEU0252929700,2005,A01,2005 Annual,464,White,Men
LEU0252929700,2006,A01,2006 Annual,477,White,Men
LEU0252929700,2007,A01,2007 Annual,486,White,Men
LEU0252929700,2008,A01,2008 Annual,502,White,Men
LEU0252929700,2009,A01,2009 Annual,504,White,Men
LEU0252929700,2010,A01,2010 Annual,488,White,Men
LEU0252929700,2011,A01,2011 Annual,494,White,Men
LEU0252929700,2012,A01,2012 Annual,515,White,Men
LEU0252929700,2013,A01,2013 Annual,505,White,Men
LEU0252929700,2014,A01,2014 Annual,522,White,Men
LEU0252929700,2015,A01,2015 Annual,524,White,Men
LEU0252929700,2016,A01,2016 Annual,567,White,Men
LEU0252929700,2017,A01,2017 Annual,591,White,Men
LEU0252929700,2018,A01,2018 Annual,612,White,Men
LEU0252929700,2019,A01,2019 Annual,658,White,Men
LEU0252929700,2020,A01,2020 Annual,684,White,Men
LEU0252929700,2021,A01,2021 Annual,691,White,Men
LEU0252929700,2022,A01,2022 Annual,753,White,Men
LEU0252929700,2023,A01,2023 Annual,774,White,Men
LEU0252930300,2000,A01,2000 Annual,608,White,Men
LEU0252930300,2001,A01,2001 Annual,626,White,Men
LEU0252930300,2002,A01,2002 Annual,639,White,Men
LEU0252930300,2003,A01,2003 Annual,652,White,Men
LEU0252930300,2004,A01,2004 Annual,670,White,Men
LEU0252930300,2005,A01,2005 Annual,677,White,Men
LEU0252930300,2006,A01,2006 Annual,704,White,Men
LEU0252930300,2007,A01,2007 Annual,718,White,Men
LEU0252930300,2008,A01,2008 Annual,738,White,Men
LEU0252930300,2009,A01,2009 Annual,740,White,Men
LEU0252930300,2010,A01,2010 Annual,736,White,Men
LEU0252930300,2011,A01,2011 Annual,745,White,Men
LEU0252930300,2012,A01,2012 Annual,760,White,Men
LEU0252930300,2013,A01,2013 Annual,763,White,Men
LEU0252930300,2014,A01,2014 Annual,777,White,Men
LEU0252930300,2015,A01,2015 Annual,792,White,Men
LEU0252930300,2016,A01,2016 Annual,806,White,Men
LEU0252930300,2017,A01,2017 Annual,831,White,Men
LEU0252930300,2018,A01,2018 Annual,861,White,Men
LEU0252930300,2019,A01,2019 Annual,888,White,Men
LEU0252930300,2020,A01,2020 Annual,915,White,Men
LEU0252930300,2021,A01,2021 Annual,940,White,Men
LEU0252930300,2022,A01,2022 Annual,982,White,Men
LEU0252930300,2023,A01,2023 Annual,1015,White,Men
LEU0252931500,2000,A01,2000 Annual,1045,White,Men
LEU0252931500,2001,A01,2001 Annual,1097,White,Men
LEU0252931500,2002,A01,2002 Annual,1124,White,Men
LEU0252931500,2003,A01,2003 Annual,1151,White,Men
LEU0252931500,2004,A01,2004 Annual,1162,White,Men
LEU0252931500,2005,A01,2005 Annual,1210,White,Men
LEU0252931500,2006,A01,2006 Annual,1237,White,Men
LEU0252931500,2007,A01,2007 Annual,1267,White,Men
LEU0252931500,2008,A01,2008 Annual,1329,White,Men
LEU0252931500,2009,A01,2009 Annual,1352,White,Men
LEU0252931500,2010,A01,2010 Annual,1354,White,Men
LEU0252931500,2011,A01,2011 Annual,1353,White,Men
LEU0252931500,2012,A01,2012 Annual,1399,White,Men
LEU0252931500,2013,A01,2013 Annual,1416,White,Men
LEU0252931500,2014,A01,2014 Annual,1416,White,Men
LEU0252931500,2015,A01,2015 Annual,1448,White,Men
LEU0252931500,2016,A01,2016 Annual,1491,White,Men
LEU0252931500,2017,A01,2017 Annual,1516,White,Men
LEU0252931500,2018,A01,2018 Annual,1550,White,Men
LEU0252931500,2019,A01,2019 Annual,1612,White,Men
LEU0252931500,2020,A01,2020 Annual,1668,White,Men
LEU0252931500,2021,A01,2021 Annual,1673,White,Men
LEU0252931500,2022,A01,2022 Annual,1774,White,Men
LEU0252931500,2023,A01,2023 Annual,1879,White,Men
LEU0252932100,2000,A01,2000 Annual,972,White,Men
LEU0252932100,2001,A01,2001 Annual,1010,White,Men
LEU0252932100,2002,A01,2002 Annual,1032,White,Men
LEU0252932100,2003,A01,2003 Annual,1081,White,Men
LEU0252932100,2004,A01,2004 Annual,1082,White,Men
LEU0252932100,2005,A01,2005 Annual,1122,White,Men
LEU0252932100,2006,A01,2006 Annual,1142,White,Men
LEU0252932100,2007,A01,2007 Annual,1170,White,Men
LEU0252932100,2008,A01,2008 Annual,1223,White,Men
LEU0252932100,2009,A01,2009 Annual,1241,White,Men
LEU0252932100,2010,A01,2010 Annual,1231,White,Men
LEU0252932100,2011,A01,2011 Annual,1234,White,Men
LEU0252932100,2012,A01,2012 Annual,1269,White,Men
LEU0252932100,2013,A01,2013 Annual,1317,White,Men
LEU0252932100,2014,A01,2014 Annual,1287,White,Men
LEU0252932100,2015,A01,2015 Annual,1345,White,Men
LEU0252932100,2016,A01,2016 Annual,1385,White,Men
LEU0252932100,2017,A01,2017 Annual,1410,White,Men
LEU0252932100,2018,A01,2018 Annual,1428,White,Men
LEU0252932100,2019,A01,2019 Annual,1489,White,Men
LEU0252932100,2020,A01,2020 Annual,1547,White,Men
LEU0252932100,2021,A01,2021 Annual,1543,White,Men
LEU0252932100,2022,A01,2022 Annual,1655,White,Men
LEU0252932100,2023,A01,2023 Annual,1756,White,Men
LEU0252932700,2000,A01,2000 Annual,1194,White,Men
LEU0252932700,2001,A01,2001 Annual,1241,White,Men
LEU0252932700,2002,A01,2002 Annual,1279,White,Men
LEU0252932700,2003,A01,2003 Annual,1339,White,Men
LEU0252932700,2004,A01,2004 Annual,1397,White,Men
LEU0252932700,2005,A01,2005 Annual,1409,White,Men
LEU0252932700,2006,A01,2006 Annual,1446,White,Men
LEU0252932700,2007,A01,2007 Annual,1472,White,Men
LEU0252932700,2008,A01,2008 Annual,1527,White,Men
LEU0252932700,2009,A01,2009 Annual,1559,White,Men
LEU0252932700,2010,A01,2010 Annual,1578,White,Men
LEU0252932700,2011,A01,2011 Annual,1604,White,Men
LEU0252932700,2012,A01,2012 Annual,1650,White,Men
LEU0252932700,2013,A01,2013 Annual,1652,White,Men
LEU0252932700,2014,A01,2014 Annual,1642,White,Men
LEU0252932700,2015,A01,2015 Annual,1661,White,Men
LEU0252932700,2016,A01,2016 Annual,1726,White,Men
LEU0252932700,2017,A01,2017 Annual,1760,White,Men
