Gender,Year,Total16Plus,White,Black_or_African_American,Asian,Hispanic_or_Latino_ethnicity
Men,1979,5.65,5.79,4.89,,4.79
Men,1980,6.1,6.23,5.18,,5.03
Men,1981,6.57,6.71,5.81,,5.37
Men,1982,6.85,6.98,5.97,,5.73
Men,1983,6.92,7.07,5.96,,5.81
Men,1984,7.12,7.26,6.16,,6.04
Men,1985,7.33,7.58,6.15,,6.07
Men,1986,7.59,7.78,6.57,,6.19
Men,1987,7.77,7.93,6.74,,6.37
Men,1988,7.91,8.06,6.94,,6.51
Men,1989,8.1,8.28,7.07,,6.66
Men,1990,8.27,8.55,7.37,,6.74
Men,1991,8.59,8.82,7.57,,6.88
Men,1992,8.67,8.89,7.62,,6.99
Men,1993,8.86,9.07,7.67,,7.12
Men,1994,9,9.21,7.92,,7.17
Men,1995,9.23,9.62,8.16,,7.26
Men,1996,9.52,9.79,8.18,,7.62
Men,1997,9.83,9.96,8.67,,7.9
Men,1998,10.06,10.18,9.09,,8.24
Men,1999,10.31,10.61,9.77,,8.61
Men,2000,10.81,10.95,9.98,10.79,9.04
Men,2001,11.32,11.61,10.18,11.84,9.67
Men,2002,11.64,11.86,10.24,11.02,9.92
Men,2003,11.89,12.03,10.81,11.89,10.03
Men,2004,12.02,12.16,10.88,11.9,10.02
Men,2005,12.16,12.47,10.9,12.75,10.19
Men,2006,12.68,12.88,11.42,13.18,10.84
Men,2007,12.95,13.22,11.57,13.22,11.07
Men,2008,13.46,13.85,11.99,14.03,11.83
Men,2009,13.76,13.95,12.27,14.01,11.92
Men,2010,13.76,13.97,12.16,14.11,11.73
Men,2011,13.8,14.02,12.06,14.25,11.81
Men,2012,13.88,14.17,12.2,14.15,11.96
Men,2013,14,14.24,12.16,14.24,11.99
Men,2014,14.39,14.86,12.21,14.66,12.38
Men,2015,14.67,14.93,12.66,14.87,12.92
Men,2016,14.96,15.13,13.06,15.04,13.83
Men,2017,15.2,15.79,13.34,16.65,14.37
Men,2018,16.01,16.53,14.22,16.69,15.01
Men,2019,16.76,17.1,14.98,17.22,15.25
Men,2020,17.75,17.98,15.88,18.04,16.24
Men,2021,18.05,18.48,16.12,19.05,17.03
Men,2022,19.7,19.88,17.78,20.13,18.18
Men,2023,20.16,20.64,18.8,21.41,19
Women,1979,3.62,3.62,3.55,,3.44
Women,1980,3.95,3.96,3.88,,3.78
Women,1981,4.28,4.28,4.19,,4.1
Women,1982,4.61,4.61,4.49,,4.33
Women,1983,4.8,4.81,4.72,,4.42
Women,1984,4.97,4.98,4.87,,4.65
Women,1985,5.13,5.14,5.04,,4.82
Women,1986,5.33,5.35,5.17,,5
Women,1987,5.6,5.62,5.4,,5.11
Women,1988,5.84,5.86,5.61,,5.28
Women,1989,6.11,6.13,5.88,,5.53
Women,1990,6.44,6.46,6.23,,5.8
Women,1991,6.75,6.76,6.55,,5.98
Women,1992,6.96,6.99,6.64,,6.17
Women,1993,7.12,7.16,6.87,,6.31
Women,1994,7.25,7.34,6.93,,6.4
Women,1995,7.46,7.54,7.12,,6.6
Women,1996,7.73,7.79,7.2,,6.77
Women,1997,7.94,8,7.59,,6.82
Women,1998,8.23,8.33,7.9,,7.22
Women,1999,8.64,8.73,8.13,,7.46
Women,2000,9.06,9.09,8.86,9.77,7.89
Women,2001,9.64,9.73,9.15,10.07,8.28
Women,2002,9.89,9.94,9.45,10.1,8.54
Women,2003,10.08,10.11,9.91,10.68,8.88
Women,2004,10.17,10.21,9.93,10.57,9.04
Women,2005,10.31,10.5,9.93,11.64,9.18
Women,2006,10.65,10.77,10.11,11.95,9.5
Women,2007,10.98,11.06,10.45,11.83,9.8
Women,2008,11.49,11.7,10.78,12.25,10.07
Women,2009,11.76,11.83,11.01,12.67,10.09
Women,2010,11.83,11.88,11.2,12.41,10.11
Women,2011,11.98,12.05,11.28,12.8,10.25
Women,2012,11.99,12.08,11.23,12.75,10.21
Women,2013,12.12,12.21,11.54,13.04,10.49
Women,2014,12.18,12.38,11.57,13.23,10.72
Women,2015,12.56,12.82,11.7,13.8,11.08
Women,2016,13.01,13.2,12.09,14.07,11.79
Women,2017,13.56,13.87,12.55,14.23,12.09
Women,2018,14.06,14.27,13.02,14.95,12.8
Women,2019,14.85,14.93,14,15.29,13.74
Women,2020,15.22,15.31,14.95,16.56,14.68
Women,2021,16.02,16.11,15.22,16.84,15.15
Women,2022,17.18,17.21,16.83,18.23,16.15
Women,2023,18.11,18.16,17.7,19.85,17.12
