occupation_group,occupation,total_number_of_workers,total_median_weekly_earnings,men_number_of_workers,men_median_weekly_earnings,women_number_of_workers,women_median_weekly_earnings
Management occupations,Chief executives,"1,261","2,901",854,"2,983",407,"2,520"
Management occupations,General and operations managers,"1,222","1,544",767,"1,689",456,"1,347"
Management occupations,Legislators,6,–,3,–,3,–
Management occupations,Advertising and promotions managers,47,–,29,–,18,–
Management occupations,Marketing managers,508,"1,812",188,"1,911",320,"1,746"
Management occupations,Sales managers,566,"2,004",390,"2,297",176,"1,688"
Management occupations,Public relations and fundraising managers,114,"1,889",39,–,75,"1,733"
Management occupations,Administrative services managers,75,"1,405",25,–,49,–
Management occupations,Facilities managers,145,"1,436",114,"1,575",32,–
Management occupations,Computer and information systems managers,781,"2,303",569,"2,313",212,"2,192"
Management occupations,Financial managers,"1,355","1,757",607,"2,100",748,"1,497"
Management occupations,Compensation and benefits managers,16,–,4,–,12,–
Management occupations,Human resources managers,324,"1,756",79,"1,891",245,"1,706"
Management occupations,Training and development managers,58,"1,976",27,–,31,–
Management occupations,Industrial production managers,260,"1,875",212,"1,884",48,–
Management occupations,Purchasing managers,234,"1,741",129,"1,879",105,"1,585"
Management occupations,"Transportation, storage, and distribution managers",360,"1,262",277,"1,318",83,"1,219"
Management occupations,"Farmers, ranchers, and other agricultural managers",116,"1,171",86,"1,216",30,–
Management occupations,Construction managers,693,"1,680",611,"1,747",82,"1,431"
Management occupations,Education and childcare administrators,941,"1,565",294,"1,870",647,"1,469"
Management occupations,Architectural and engineering managers,174,"2,904",150,"2,887",24,–
Management occupations,Food service managers,720,988,384,"1,121",336,924
Management occupations,Funeral home managers,5,–,3,–,2,–
Management occupations,Entertainment and recreation managers,53,"1,035",32,–,21,–
Management occupations,Lodging managers,116,"1,257",42,–,74,"1,069"
Management occupations,Medical and health services managers,767,"1,634",224,"1,914",543,"1,540"
Management occupations,Natural sciences managers,36,–,14,–,22,–
Management occupations,Postmasters and mail superintendents,16,–,4,–,12,–
Management occupations,"Property, real estate, and community association managers",489,"1,263",189,"1,521",300,"1,143"
Management occupations,Social and community service managers,410,"1,382",113,"1,501",297,"1,341"
Management occupations,Emergency management directors,13,–,8,–,4,–
Management occupations,"Personal service managers, all other",10,–,2,–,9,–
Management occupations,"Managers, all other","3,872","1,738","2,263","1,887","1,609","1,536"
