Year,Occupation,Total_Number,Men_Number,Women_Number,Total_MedianEarnings,Men_MedianEarnings,Women_MedianEarnings
2013,Sales and Office Occupations,"23,024,430","9,483,428","13,541,002","36,667","44,622","32,972"
2013,..Office and Administrative Support Occupations:,"13,261,018","3,706,820","9,554,198","35,120","38,713","33,637"
2013,"..Education, Legal, Community Service, Arts, and Media Occupations:","9,946,980","3,873,198","6,073,782","49,461","56,887","45,482"
2013,..Healthcare Practitioners and Technical Occupations:,"5,784,959","1,647,689","4,137,270","61,014","80,723","56,710"
2013,..Sales and Related Occupations:,"9,763,412","5,776,608","3,986,804","41,300","50,259","31,747"
2013,"...Education, Training, and Library Occupations:","5,123,204","1,512,120","3,611,084","47,331","55,349","44,667"
2013,...Business and Financial Operations Occupations:,"5,677,671","2,607,609","3,070,062","60,692","70,670","52,958"
2013,...Secretaries and administrative assistants,"2,402,826","112,008","2,290,818","35,814","40,599","35,677"
2013,..Healthcare Support Occupations:,"2,235,372","331,472","1,903,900","27,158","30,838","26,743"
2013,..Personal Care and Service Occupations:,"2,530,732","667,947","1,862,785","24,051","30,217","22,294"
2013,...Registered nurses,"2,061,647","238,183","1,823,464","62,265","67,990","61,946"
2013,Elementary and middle school teachers,"2,282,888","503,434","1,779,454","48,874","51,986","47,521"
2013,..Production Occupations:,"6,900,369","5,123,473","1,776,896","35,478","39,170","26,544"
2013,..Food Preparation and Serving Related Occupations:,"3,428,600","1,846,291","1,582,309","21,343","22,483","20,049"
2013,"..Computer, Engineering, and Science Occupations:","6,587,606","5,025,859","1,561,747","75,222","78,480","65,160"
2013,"...Nursing, psychiatric, and home health aides","1,397,113","219,944","1,177,169","25,909","30,408","25,362"
2013,...First-line supervisors of retail sales workers,"2,563,806","1,465,356","1,098,450","38,265","44,856","31,897"
2013,...Community and Social Service Occupations:,"1,772,184","685,908","1,086,276","42,023","43,927","41,485"
2013,..Building and Grounds Cleaning and Maintenance Occupations:,"3,334,604","2,253,763","1,080,841","25,267","27,873","20,844"
2013,...Customer service representatives,"1,589,129","535,845","1,053,284","31,913","35,505","31,152"
2013,"....Managers, all other","3,034,121","2,056,582","977,539","75,912","81,462","63,917"
2013,Accountants and auditors,"1,651,199","683,411","967,788","61,270","72,805","54,720"
2013,...Computer and mathematical occupations:,"3,326,898","2,491,163","835,735","76,739","80,509","69,795"
2013,"...Bookkeeping, accounting, and auditing clerks","874,662","114,995","759,667","36,798","41,490","36,372"
2013,...Cashiers,"1,042,284","321,457","720,827","20,562","22,257","19,736"
2013,"...Arts, Design, Entertainment, Sports, and Media Occupations:","1,675,400","984,006","691,394","50,909","52,617","47,086"
2013,...Legal Occupations:,"1,376,192","691,164","685,028","83,735","116,689","61,432"
