Year,Occupation,Total_Number,Men_Number,Women_Number,Total_MedianEarnings,Men_MedianEarnings,Women_MedianEarnings
2013,Sales and Office Occupations,23024430,9483428,13541002,36667,44622,32972
2013,Office and Administrative Support Occupations:,13261018,3706820,9554198,35120,38713,33637
2013,"Education, Legal, Community Service, Arts, and Media Occupations:",9946980,3873198,6073782,49461,56887,45482
2013,Healthcare Practitioners and Technical Occupations:,5784959,1647689,4137270,61014,80723,56710
2013,Sales and Related Occupations:,9763412,5776608,3986804,41300,50259,31747
2013,"Education, Training, and Library Occupations:",5123204,1512120,3611084,47331,55349,44667
2013,Business and Financial Operations Occupations:,5677671,2607609,3070062,60692,70670,52958
2013,Secretaries and administrative assistants,2402826,112008,2290818,35814,40599,35677
2013,Healthcare Support Occupations:,2235372,331472,1903900,27158,30838,26743
2013,Personal Care and Service Occupations:,2530732,667947,1862785,24051,30217,22294
2013,Registered nurses,2061647,238183,1823464,62265,67990,61946
2013,Elementary and middle school teachers,2282888,503434,1779454,48874,51986,47521
2013,Production Occupations:,6900369,5123473,1776896,35478,39170,26544
2013,Food Preparation and Serving Related Occupations:,3428600,1846291,1582309,21343,22483,20049
2013,"Computer, Engineering, and Science Occupations:",6587606,5025859,1561747,75222,78480,65160
2014,Sales and Office Occupations:,22980042,9560866,13419176,37060,45041,33527
2014,Office and Administrative Support Occupations:,13145902,3772191,9373711,35365,38667,34069
2014,"Education, Legal, Community Service, Arts, and Media Occupations:",10164825,3895376,6269449,50057,57516,45789
2014,Healthcare Practitioners and Technical Occupations:,6183734,1732770,4450964,60631,77993,56151
2014,Sales and Related Occupations:,9834140,5788675,4045465,41747,50567,32122
2014,"Education, Training, and Library Occupations:",5211831,1513551,3698280,48026,55730,45162
2014,Business and Financial Operations Occupations:,5809077,2672417,3136660,60934,70728,54018
2014,Secretaries and administrative assistants,2267963,109810,2158153,36141,41073,36004
2014,Registered nurses,2183447,253618,1929829,62280,67965,61961
2014,Personal Care and Service Occupations:,2540749,630759,1909990,23718,29685,22201
2014,Healthcare Support Occupations:,2098584,290377,1808207,27174,30526,26894
2014,Elementary and middle school teachers,2315762,515461,1800301,49832,52275,48594
2014,Production Occupations:,7047746,5254651,1793095,35891,40113,26561
2014,"Computer, Engineering, and Science Occupations:",6853148,5216177,1636971,76036,79847,66500
2014,Food Preparation and Serving Related Occupations:,3563188,1931113,1632075,21513,22709,20202
2015,Sales and Office Occupations,23425185,9769510,13655675,37397,45469,34506
2015,Office and Administrative Support Occupations,13432640,3885270,9547370,35770,39077,34962
2015,"Education, Legal, Community Service, Arts, and Media Occupations",10353405,3948912,6404493,50417,57809,46386
2015,Healthcare Practitioners and Technical Occupations,6285534,1728301,4557233,60928,80084,56629
