"Year","Occupation","Total_Number","Men_Number","Women_Number","Total_MedianEarnings","Men_MedianEarnings","Women_MedianEarnings"
2013,"..Office and Administrative Support Occupations:",13261018,3706820,9554198,33637,38713,33637
2013,"..Education, Legal, Community Service, Arts, and Media Occupations:",9946980,3873198,6073782,45482,56887,45482
2013,"..Healthcare Practitioners and Technical Occupations:",5784959,1647689,4137270,56710,80723,56710
2013,"..Sales and Related Occupations:",9763412,5776608,3986804,31747,50259,31747
2013,"...Education, Training, and Library Occupations:",5123204,1512120,3611084,44667,55349,44667
2013,"...Business and Financial Operations Occupations:",5677671,2607609,3070062,52958,70670,52958
2013,"...Secretaries and administrative assistants",2402826,112008,2290818,35677,40599,35677
2013,"..Healthcare Support Occupations:",2235372,331472,1903900,26743,30838,26743
2013,"..Personal Care and Service Occupations:",2530732,667947,1862785,22294,30217,22294
2013,"...Registered nurses",2061647,238183,1823464,61946,67990,61946
2013,"Elementary and middle school teachers",2282888,503434,1779454,47521,51986,47521
2013,"..Production Occupations:",6900369,5123473,1776896,26544,39170,26544
2013,"..Food Preparation and Serving Related Occupations:",3428600,1846291,1582309,20049,22483,20049
2013,"..Computer, Engineering, and Science Occupations:",6587606,5025859,1561747,65160,78480,65160
2013,"...Nursing, psychiatric, and home health aides",1397113,219944,1177169,25362,30408,25362
2013,"...First-line supervisors of retail sales workers",2563806,1465356,1098450,31897,44856,31897
2013,"...Community and Social Service Occupations:",1772184,685908,1086276,41485,43927,41485
2013,"..Building and Grounds Cleaning and Maintenance Occupations:",3334604,2253763,1080841,20844,27873,20844
2013,"...Customer service representatives",1589129,535845,1053284,31152,35505,31152
2013,"....Managers, all other",3034121,2056582,977539,63917,81462,63917
2013,"Accountants and auditors",1651199,683411,967788,54720,72805,54720
2013,"...Computer and mathematical occupations:",3326898,2491163,835735,69795,80509,69795
2013,"...Bookkeeping, accounting, and auditing clerks",874662,114995,759667,36372,41490,36372
2013,"...Cashiers",1042284,321457,720827,19736,22257,19736
2013,"...Arts, Design, Entertainment, Sports, and Media Occupations:",1675400,984006,691394,47086,52617,47086
2013,"...Legal Occupations:",1376192,691164,685028,61432,116689,61432
2013,"...First-line supervisors of office and administrative support workers",1126495,444538,681957,42369,54066,42369
2013,"...Retail salespersons",1668480,1012539,655941,26140,37143,26140
2013,"...Maids and housekeeping cleaners",737561,127620,609941,19752,24397,19752
2013,"...Office clerks, general",729066,127739,601327,32155,36371,32155
