"Year","Occupation","Total_Occupation","median_income"
2013,"Sales and Office Occupations",23024430,36667
2013,"Office and Administrative Support Occupations:",13261018,35120
2013,"Education, Legal, Community Service, Arts, and Media Occupations:",9946980,49461
2013,"Sales and Related Occupations:",9763412,41300
2013,"Natural Resources, Construction, and Maintenance Occupations:",9447149,40492
2013,"Production Occupations:",6900369,35478
2013,"Computer, Engineering, and Science Occupations:",6587606,75222
2013,"Healthcare Practitioners and Technical Occupations:",5784959,61014
2013,"Business and Financial Operations Occupations:",5677671,60692
2013,"Education, Training, and Library Occupations:",5123204,47331
2014,"Sales and Office Occupations:",22980042,37060
2014,"Office and Administrative Support Occupations:",13145902,35365
2014,"Education, Legal, Community Service, Arts, and Media Occupations:",10164825,50057
2014,"Sales and Related Occupations:",9834140,41747
2014,"Natural Resources, Construction, and Maintenance Occupations:",9807518,40609
2014,"Production Occupations:",7047746,35891
2014,"Computer, Engineering, and Science Occupations:",6853148,76036
2014,"Healthcare Practitioners and Technical Occupations:",6183734,60631
2014,"Business and Financial Operations Occupations:",5809077,60934
2014,"Construction and Extraction Occupations:",5306587,40042
2015,"Sales and Office Occupations",23425185,37397
2015,"Office and Administrative Support Occupations",13432640,35770
2015,"Education, Legal, Community Service, Arts, and Media Occupations",10353405,50417
2015,"Natural Resources, Construction, and Maintenance Occupations",10253555,40928
2015,"Sales and Related Occupations",9992545,42101
2015,"Production Occupations",7218719,36278
2015,"Computer, Engineering, and Science Occupations",7040467,77400
2015,"Transportation and Material Moving Occupations",6498781,36283
2015,"Healthcare Practitioners and Technical Occupations",6285534,60928
2015,"Business and Financial Operations Occupations",5914658,61547
2016,"Sales and Office Occupations",23561354,38602
2016,"Office and Administrative Support Occupations",13475419,36290
2016,"Education, Legal, Community Service, Arts, and Media Occupations",10566994,50890
2016,"Natural Resources, Construction, and Maintenance Occupations",10336235,41407
2016,"Sales and Related Occupations",10085935,43647
2016,"Computer, Engineering, and Science Occupations",7336002,80279
2016,"Production Occupations",7084690,36773
2016,"Transportation and Material Moving Occupations",6605581,36644
2016,"Healthcare Practitioners and Technical Occupations",6558946,61813
2016,"Business and Financial Operations Occupations",6123442,63511
2017,"Sales and Office Occupations",23753528,40078
2017,"Office and Administrative Support Occupations",13620469,37050
2017,"Education, Legal, Community Service, Arts, and Media Occupations",10873395,51525
2017,"Natural Resources, Construction, and Maintenance Occupations",10665395,41963
2017,"Sales and Related Occupations",10133059,45567
2017,"Computer, Engineering, and Science Occupations",7632074,81256
2017,"Production Occupations",7197169,37542
2017,"Transportation and Material Moving Occupations",6852836,37079
2017,"Healthcare Practitioners and Technical Occupations",6787795,62232
2017,"Business and Financial Operations Occupations",6327592,65590
2018,"Sales and Office Occupations:",22657990,41220
2018,"Office and Administrative Support Occupations:",12527103,39013
2018,"Education, Legal, Community Service, Arts, and Media Occupations:",11008551,52372
2018,"Natural Resources, Construction, and Maintenance Occupations:",10852297,42822
2018,"Sales and Related Occupations:",10130887,46617
2018,"Transportation and Material Moving Occupations:",8119366,36551
2018,"Computer, Engineering, and Science Occupations:",8095862,81695
2018,"Production Occupations:",7221510,39918
2018,"Business and Financial Operations Occupations:",7088377,69520
2018,"Healthcare Practitioners and Technical Occupations:",6988175,64326
2019,"Sales and Office Occupations:",22067147,41232
2019,"Office and Administrative Support Occupations:",12078551,39299
2019,"Education, Legal, Community Service, Arts, and Media Occupations:",11641414,53149
2019,"Natural Resources, Construction, and Maintenance Occupations:",11085254,45217
2019,"Sales and Related Occupations:",9988596,46454
2019,"Computer, Engineering, and Science Occupations:",8747777,84801
2019,"Transportation and Material Moving Occupations:",8237468,37188
2019,"Production Occupations:",7324192,40136
2019,"Healthcare Practitioners and Technical Occupations:",7181268,66614
2019,"Business and Financial Operations Occupations:",7130983,70234
2020,"Sales and office occupations",21164,809
2020,"Office and administrative support occupations",12207,781
2020,"Natural resources, construction, and maintenance occupations",10690,905
2020,"Sales and related occupations",8958,880
2020,"Transportation and material moving occupations",7917,719
2020,"Healthcare practitioners and technical occupations",7505,1227
2020,"Business and financial operations occupations",7294,1363
2020,"Education, training, and library occupations",7012,1096
2020,"Production occupations",6820,775
2020,"Construction and extraction occupations",5826,906
2021,"Sales and Office Occupations:",20746616,45034
2021,"Education, Legal, Community Service, Arts, and Media Occupations:",11786704,58230
2021,"Office and Administrative Support Occupations:",11749720,41853
2021,"Natural Resources, Construction, and Maintenance Occupations:",10065492,49104
2021,"Computer, Engineering, and Science Occupations:",9540113,90974
2021,"Sales and Related Occupations:",8996896,51457
2021,"Business and Financial Operations Occupations:",7748685,75831
2021,"Transportation and Material Moving Occupations:",7717755,40104
2021,"Healthcare Practitioners and Technical Occupations:",7246380,72368
2021,"Production Occupations:",6513044,42199
2022,"Sales and Office Occupations:",22008192,47167
2022,"Education, Legal, Community Service, Arts, and Media Occupations:",12252605,60541
2022,"Office and Administrative Support Occupations:",12196123,44038
2022,"Natural Resources, Construction, and Maintenance Occupations:",10738294,51155
2022,"Computer, Engineering, and Science Occupations:",10169079,94945
2022,"Sales and Related Occupations:",9812069,53543
2022,"Transportation and Material Moving Occupations:12",8331203,42070
2022,"Business and Financial Operations Occupations:",8274826,79502
2022,"Healthcare Practitioners and Technical Occupations:",7555731,76047
2022,"Production Occupations:",7019626,45073
2023,"Office and administrative support occupations",12520,891
2023,"Natural resources, construction, and maintenance occupations",11368,1001
2023,"Sales and related occupations",9148,1001
2023,"Transportation and material moving occupations",8664,841
2023,"Business and financial operations occupations",8227,1517
2023,"Healthcare practitioners and technical occupations",7795,1404
2023,"Education, training, and library occupations",7525,1180
2023,"Production occupations",7313,895
2023,"Construction and extraction occupations",6517,985
2023,"Computer and mathematical occupations",6129,1890
